,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene81,Gene82,Gene83,Gene84,Gene85,Gene86,Gene87,Gene88,Gene89,Gene90,Gene91,Gene92,Gene93,Gene94,Gene95,Gene96,Gene97,Gene98,Gene99,Gene100
Gene1,1.0,0.4910717460483252,0.6870127939828464,0.32517010268282215,0.12957125463918456,0.4270781171779739,0.113509337620182,0.6993827891632605,0.6541768230283037,0.4579794164710364,0.10285871156721105,0.5138762643626953,0.7953529183647221,0.1219626277519591,0.17443343755402524,0.35124314749482594,0.2480547838391403,0.7452892963927289,0.694223208470798,0.42272782716502927,0.4367792892291427,0.5272919645295425,0.6344724885229387,0.5844737614367523,0.3983370753991638,0.8063474417496583,0.41461573952504815,0.5177652430338753,0.6925048425752129,0.08715860697120764,0.6401239230551682,0.13157480336932936,0.3092113913675257,0.6911788850044838,0.5164439735209636,0.547458448521792,0.22291865627326007,0.35456786261602236,0.49029532001272264,0.43572710004030796,0.3470170565641858,0.5632761180797605,0.4421739258092119,0.4949679036241919,0.19103188044948188,0.6309107856801853,0.25517134497564004,0.38502045602332025,0.33527815302454855,0.09545074935475273,0.6816100740210003,0.6121056687479952,0.6219946829591098,0.8391644265077789,0.4209476405817787,0.7203110410689131,0.17831786583192016,0.24540005038295604,0.17232520685682234,0.4784373547197123,0.5184671218836521,0.3119391365372066,0.76600878159709,0.5698384704755808,0.4825717924379337,0.37193565772356396,0.33720221685977275,0.6867049492527784,0.0658248610624736,0.6083016101418746,0.40552211201277244,0.10394061585899445,0.18726992476738757,0.47224891867212954,0.3862290543963233,0.6359426502008962,0.7196448995992528,0.5353639648343851,0.19814293254815396,0.34644473060784403,0.7916856749114946,0.7197629893451791,0.2610935907745818,0.42591677922842663,0.40500924730987176,0.3748380773516411,0.5739846083834286,0.7827290506086201,0.8254140207689916,0.418649299223175,0.5165861286704982,0.6448251693383142,0.8532073631829472,0.41320022950761787,0.7289472983644317,0.5052299281041326,0.27095287006594615,0.6041368741936097,0.40515105506594473,0.06550104773054832
Gene2,0.4910717460483252,1.0,0.19924797303568775,0.5199626613664254,0.9050596903028298,0.39269429774649767,0.3444866310337942,0.4036873376827378,0.1906686042029419,0.051756056851306353,0.4158262001460631,0.5651619586974079,0.4771422844006873,0.8721663129040533,0.40051148639937056,0.6753212339087243,0.5635218195073176,0.3095339686080839,0.8150336789744923,0.27228592772928173,0.5272094771180311,0.7145600835848166,0.21436203414908978,0.3410502839484888,0.14982352569479634,0.595817791640487,0.43617340037269847,0.9183722032677786,0.457425462155405,0.6381470265467133,0.6070462001700756,0.4852460800734808,0.3114989199426114,0.6673987626532891,0.5189138203670944,0.5629216221868425,0.5448340192914212,0.6907594635939078,0.650972665515305,0.6754112840519979,0.8839398121210488,0.33909032631349334,0.34674711129927555,0.6202234494209677,0.4017010915216008,0.2752974012849188,0.6964757769878676,0.2880215453442321,0.061007194421472954,0.3812533415504614,0.6908507726708375,0.40858748565205305,0.5639208758229619,0.24998299240960825,0.9761923408228543,0.14661038897848816,0.49390201428497227,0.5580839120786625,0.1688962707495833,0.6355783965505937,0.2700847474122097,0.677494702534033,0.5180280331255184,0.4892147661675958,0.486365480700995,0.4576829490591018,0.4585868323320987,0.46595812477069687,0.07565915393167222,0.3952322795420903,0.4321684450367059,0.10899346586087177,0.3238049659300175,0.3284061016201644,0.6678940513980431,0.5036300119461105,0.4338100261393856,0.5687627887401625,0.5298910561635297,0.17933427712834332,0.5141746777316931,0.550867818191888,0.6660494449449558,0.5681872487421641,0.5947383384352087,0.484654135196201,0.7656876732966948,0.6917894786005543,0.393957468121585,0.5772182544126374,0.3092316248126986,0.8446094420417614,0.6716775894488832,0.5640787014639264,0.3165165898218269,0.5426134714889984,0.7492267624832767,0.5560575141113029,0.5435476726889324,0.5764413228680922
Gene3,0.6870127939828464,0.19924797303568775,1.0,0.7195946550685929,0.5558407160537235,0.1593623339514787,0.13924101357138946,0.5000530236509881,0.29067497200651593,0.17112174325364798,0.7108398126214972,0.7878405413280595,0.3370424055157989,0.1381202965560161,0.3744253241405394,0.13144557665161788,0.27602805019312787,0.5291537691016419,0.5014421537746394,0.805107085261136,0.78193373641069,0.3631317130854098,0.25811159807001854,0.44019176450792497,0.33741563128847873,0.4087592974173284,0.8608278944393228,0.2593239697147069,0.917874073998667,0.3155751303763145,0.5226396011670738,0.7085928784768756,0.3853834762816259,0.525788489382733,0.5970677999156675,0.859845007582554,0.23302135891208975,0.17093283334452114,0.7321062626956093,0.5460857059621357,0.8503097570715367,0.7510368898653047,0.5202070900594629,0.5626461588503202,0.13065202951113386,0.6082515442736274,0.6687184213771533,0.8149005340094392,0.9365247403875647,0.48812845679995576,0.5744981426358831,0.478002391177035,0.7469570424983925,0.5394059497668808,0.5638154332452943,0.3948299096672222,0.5307030026284945,0.6303119389826473,0.42088938449377233,0.11327855536873471,0.7437008950269923,0.6546395739452259,0.5300620338912139,0.5017981973531791,0.540442090129921,0.6076108987993638,0.5315220033708916,0.5407199968998084,0.2894402702080007,0.16568817543008652,0.8203034802842281,0.8845687853260733,0.6927359726065845,0.5939727926818075,0.5418750624143515,0.31330260226180157,0.6892618555829584,0.6473419540797913,0.8441584001009327,0.5324562110370556,0.492879770240462,0.3634233266628261,0.6562661032743198,0.401329329903188,0.5808065254923458,0.15828892683662893,0.663415122696423,0.4328116840356923,0.38366371015400585,0.6856775316630163,0.3777052608875669,0.1808309263123975,0.7109470634850685,0.6033625672673341,0.3434768070939171,0.5395438365946834,0.4704692233330983,0.4657282890273028,0.37686641858391,0.11706787442146044
Gene4,0.32517010268282215,0.5199626613664254,0.7195946550685929,1.0,0.7762743999152015,0.8948235495847416,0.30250144102912546,0.2286855749401101,0.7009506205757798,0.4269369061158832,0.5855981535575987,0.5031043322687394,0.17448048128249938,0.7519723749894978,0.7861910677889232,0.5186110168599272,0.3819746251231036,0.33971809145554493,0.22648631197937064,0.1427771265524172,0.3993864322778133,0.7052475204344324,0.3511110259445683,0.28671136007703224,0.6330413878632939,0.8469720301538508,0.4359704238862587,0.3143342055619666,0.6898678334166186,0.3321484089917248,0.49042338912913025,0.595933541586564,0.4366051298989553,0.21861739657143486,0.18632094572383184,0.035377403824181475,0.5670518235630218,0.7758835471978269,0.7288705178004942,0.1745017140997014,0.322757889905303,0.3240594783384476,0.5683409086921714,0.5102377837608179,0.37832222546325894,0.3111572279209635,0.5026629182761102,0.3203351899644586,0.28237069047258845,0.46676950259609246,0.4215703223199899,0.5944582666813437,0.6881848947062223,0.5281194604347762,0.15910019523593427,0.5672105038191992,0.3410106411938672,0.41904916276860427,0.8780930154200821,0.47564769844190996,0.5006430826378817,0.7745999448385004,0.554253980792589,0.6617630980322359,0.9074129633089816,0.19803593626764637,0.8841487920717135,0.6040591247867444,0.33007069233571906,0.356365512972463,0.4337731788578812,0.3158118360868604,0.10352609505257454,0.7853791490440225,0.237854086459232,0.2243792980081863,0.8744551487120069,0.18928078947757232,0.564842609983111,0.542493931854823,0.5203686162637282,0.3720764007521178,0.5030974162477897,0.5461633099760255,0.6367276153501595,0.8878553198006031,0.21835971037808383,0.20734695371843004,0.8713153605188471,0.7811360058914225,0.7132767199866306,0.5643911075445188,0.4241781896435747,0.6407893361323647,0.3208613067092183,0.9298891056601829,0.4511586827368245,0.6145242176631949,0.7133413517671152,0.6564636758274521
Gene5,0.12957125463918456,0.9050596903028298,0.5558407160537235,0.7762743999152015,1.0,0.7901272005250399,0.25491877491738196,0.03710631097653305,0.6647563238608248,0.25635561368931575,0.5629373927259322,0.9724848948486201,0.7196251686711109,0.6412492037871013,0.6478208698958021,0.4143205703820884,0.18131730722207895,0.38408811700141304,0.5111108429114439,0.7490541560844561,0.5317643849272398,0.7914397466164041,0.41555511190781036,0.7130870120676989,0.3673396998758268,0.37500169892606916,0.22083259718893117,0.8289311972576978,0.4361873256367753,0.31978859875659715,0.3573688325982923,0.5101111369364566,0.6475794231565493,0.1606170010137717,0.4161453590819219,0.7991674986250259,0.14573640334388838,0.884510761095302,0.4829565330534551,0.46278055296402143,0.11704359191333291,0.6412858039688958,0.24115767756626372,0.5995404090029408,0.9011524503209125,0.7217438996423363,0.8686399940983189,0.5842619196258436,0.59875487004531,0.5047801382584671,0.823398300369804,0.4369687151994703,0.7004198232809927,0.6695971530759541,0.2296247188917359,0.40143019401778196,0.02557538605153581,0.6919752911867001,0.2173094414235484,0.10898201427284793,0.13736506516702957,0.38792371381721896,0.418231928528542,0.48286604807939376,0.5109674113264632,0.22981836697501862,0.40449916779105527,0.6639725691811416,0.32842338541424027,0.6128664149618885,0.1813985830734816,0.6157750966725728,0.4885736652315967,0.4658644129163831,0.44565627913818184,0.7748915781988039,0.19698886608191873,0.30150755677818447,0.5423018129790742,0.28362170312880214,0.5989354201460411,0.748460096139971,0.5593075929838036,0.3339441205677882,0.5193985224392285,0.5272614189533673,0.24849670157944115,0.271798400979152,0.818530953715298,0.7484916818365741,0.5428456651640756,0.3777757238096824,0.6051137021707159,0.468077949532675,0.31541635990464467,0.3656602918336685,0.6186774023779756,0.21192093887368996,0.7671389866215752,0.9517798229931759
Gene6,0.4270781171779739,0.39269429774649767,0.1593623339514787,0.8948235495847416,0.7901272005250399,1.0,0.6858529762632841,0.9062487376565571,0.8431220744583234,0.8091956097326674,0.6360992813232536,0.2960691427550531,0.8515679505809033,0.868516506623247,0.25992477292800165,0.21259487769707625,0.44776157889316,0.4581090075217884,0.8809648302480632,0.1764487256343828,0.6767644888850495,0.3488262668492741,0.9439954750068769,0.6195669821864502,0.7220539770819141,0.28897868505229585,0.4629743207874475,0.5402813046477943,0.5168417023212154,0.45967839812801276,0.8228656929591743,0.7170604961463702,0.9172726059628544,0.45297611994439463,0.7878262341036635,0.783698131740543,0.5162425852731143,0.566101609719601,0.7101338840540352,0.30658999383044955,0.6111126975018178,0.6349995546518026,0.35356693780532594,0.375943720608985,0.6512212446916203,0.3218943532975418,0.50527644078202,0.5468827147367388,0.5324692860054645,0.4670064725048131,0.30414896604434244,0.479402559627569,0.4645543106160621,0.5482402223165923,0.886104671766115,0.29262323198679563,0.3658487819870499,0.14723412058980123,0.4217671114101887,0.6216317977684231,0.8332089127902151,0.19574197539075472,0.5421140214202153,0.22883600549539823,0.6195934196218746,0.6987717782088041,0.25449597393426393,0.6277192081864413,0.8519252782482698,0.20030132272730672,0.44540005846701164,0.42532205356849534,0.2900612048382081,0.7679070971171664,0.5395889923379267,0.9479496385080065,0.4086637284866986,0.478822250598325,0.29955377712708076,0.6251682876638892,0.41143063868697277,0.7922066471841426,0.37385265820713387,0.26494407643894274,0.4213443079234228,0.48673676374752767,0.2419417096968725,0.3166503808129311,0.4847013051314855,0.3893432552820695,0.2397015550352644,0.46608424600435994,0.12898240558232604,0.2423135942863897,0.6519810742524436,0.4688187230180252,0.7207469336723498,0.1724644920519522,0.49098131630071323,0.2161741733002473
Gene7,0.113509337620182,0.3444866310337942,0.13924101357138946,0.30250144102912546,0.25491877491738196,0.6858529762632841,1.0,0.3433118530113992,0.7188921428119359,0.8011008374011775,0.3657943521794757,0.5978262089058507,0.6555978830487065,0.39792298204064985,0.8588745365379872,0.8358304388534202,0.06434526172353933,0.458851981418705,0.7337859454317379,0.8531665852515193,0.31713043090345866,0.5332642901677316,0.3252547161709357,0.2858078759933964,0.491424249863918,0.6114378032625973,0.2546933123303755,0.4338390836271664,0.3969967050125184,0.6127575536581769,0.8097183231829065,0.8093273277686002,0.6852208607325692,0.45232337951243323,0.4825976411735026,0.7103974929941379,0.6791641090078451,0.4907687397870511,0.3502385503704694,0.9632123561624174,0.1905729620593818,0.6436909446067891,0.9971123288736587,0.4021681149555195,0.5343713994331263,0.812567790725215,0.7198583320421401,0.7320831200954604,0.43351387910805395,0.732137259323695,0.4318593626480272,0.4519524312324081,0.6943406432368425,0.6112114334009919,0.6991408835628934,0.31585657235700104,0.5767358953251791,0.6294490139794149,0.7729819253412096,0.5088262499346754,0.43723109461658344,0.7397726869758909,0.4321660414985665,0.3067086302528083,0.21542812604056583,0.4621662420219692,0.18751142660678555,0.5453015682026102,0.46302083896770957,0.25803723961095537,0.9699571845547585,0.46247838253682366,0.16649980280640314,0.6787527640616275,0.945520794249347,0.6986881876396803,0.14997124548323443,0.4760184272472702,0.8444652004726704,0.497929402804386,0.7868053272222932,0.22822284295657075,0.14896058168164877,0.42363604833936525,0.4665478249728225,0.2785865912265523,0.6295387467598139,0.512014272444431,0.9228726159861167,0.41252349188688575,0.3124191280948445,0.7576518199643346,0.5043650397549015,0.2474117726958202,0.17355509476485215,0.3495711788281805,0.5512298424165495,0.7260243303411922,0.4465838826764444,0.6630452395637108
Gene8,0.6993827891632605,0.4036873376827378,0.5000530236509881,0.2286855749401101,0.03710631097653305,0.9062487376565571,0.3433118530113992,1.0,0.5901045838352701,0.5116600369609026,0.804711755727503,0.6769386081559678,0.45873944746345335,0.6067844986085302,0.5772692097465242,0.7315658454873522,0.8154879578050453,0.5905325465880561,0.15474639567650633,0.5494041132528644,0.8575255068881096,0.5436881604657133,0.4624189720829492,0.6790935827039302,0.396182833717451,0.6404892966960102,0.20797096722359448,0.5304250724092481,0.1816493781423532,0.19489063705768822,0.08821128470418987,0.41181444090587654,0.70677653718097,0.29588955124654015,0.6782293907628295,0.671105029169768,0.33907633754176286,0.5470320595982656,0.3933268519419865,0.3427063554571958,0.4355676835390445,0.17589732388317564,0.6444919005418447,0.5664067584770713,0.18738462508996645,0.461760419272526,0.28335230495621866,0.3696327506068188,0.9309601512013073,0.4150161864517069,0.4822228368815502,0.5196633962432199,0.5311195081879566,0.36205711664026247,0.29135558774971565,0.5584174913590731,0.7554524521090735,0.3184680778114531,0.9376379586461189,0.7832910913977338,0.11228666580220309,0.19683025341684718,0.29285081511037575,0.5556434039249785,0.17406003407492293,0.7425142526381063,0.6496589161216544,0.7109245248108198,0.3842000213533044,0.8115856287540697,0.05543637082017089,0.5455986856857227,0.2670625946084764,0.34742900350059136,0.883981696786712,0.23842976380173436,0.42702339697568337,0.7421426447160586,0.7873026002893576,0.7186080791411174,0.47565695143436704,0.5187764499845082,0.15516782949350144,0.34172199511938334,0.21155197182874347,0.7523166153680025,0.4166296300120249,0.452035311973301,0.614933363384994,0.7880023633186988,0.36579059464279695,0.6987301952090775,0.5964205601349521,0.6716151652361602,0.2764555803700043,0.74056150999804,0.7128137325721062,0.5080184183411786,0.6609311788672037,0.4613701278475811
Gene9,0.6541768230283037,0.1906686042029419,0.29067497200651593,0.7009506205757798,0.6647563238608248,0.8431220744583234,0.7188921428119359,0.5901045838352701,1.0,0.18633073963602387,0.6172546039107603,0.7674593522498632,0.19914467374246636,0.6301460375800891,0.7276253632294403,0.5633715749597583,0.41249375882768113,0.5092953293839799,0.11443548707805784,0.33106442899199,0.43410980308119834,0.1407682551912059,0.312858701076521,0.25600354353377236,0.7627157845467574,0.8834122353099105,0.5266612409108387,0.1822527826314283,0.6072006772888592,0.378208330263044,0.4493123709993873,0.5209467528086953,0.2900338108147586,0.27298059296649824,0.3699321289981738,0.6331566900379608,0.9209848414662747,0.3220049706111324,0.31546893862369835,0.602653244269273,0.34639583671083946,0.7769608464359883,0.13203406195134731,0.8948616117938721,0.2654011012928411,0.4997259675164073,0.5208207747960025,0.9085637853954185,0.37457808866156755,0.6684755628934367,0.12444706511288312,0.7582782075556147,0.5397196324552828,0.892739412405537,0.2630683430614525,0.22439768191854065,0.24279371410902828,0.5643148237548258,0.5972623642609096,0.1430895602138611,0.7011802605550389,0.32463450972489477,0.46332534150556104,0.4833546619198438,0.45642581878699495,0.7070778836094838,0.5459052320007758,0.4216971679094615,0.5977449142945737,0.8988023218900897,0.3072768261588904,0.5761152463662321,0.5135820058990708,0.5990124128876005,0.10055080074858536,0.3814209602820381,0.5262112903324538,0.5981515661770032,0.14202414600597668,0.30837373935231616,0.4622923168171959,0.7071014945662264,0.16256201814855775,0.26127903958001597,0.6548196284883773,0.547243833004193,0.6464985114020755,0.15298958843741955,0.0699752828503335,0.39845021119890767,0.6101983030198197,0.5391728516665355,0.8110632014946142,0.28095876925308944,0.43345683342856306,0.2465981319319635,0.24925795747549928,0.6243842750299806,0.4996920475698141,0.12701158715682614
Gene10,0.4579794164710364,0.051756056851306353,0.17112174325364798,0.4269369061158832,0.25635561368931575,0.8091956097326674,0.8011008374011775,0.5116600369609026,0.18633073963602387,1.0,0.539859953078974,0.21097977358136566,0.8106367040034226,0.6121183829688763,0.7101592306826194,0.6005048953387224,0.41723883707321413,0.799327199680155,0.43100072193657907,0.1445006130494486,0.6780195847856485,0.7354763354823679,0.9026611942690033,0.5725391993745037,0.43960756283267416,0.45777975675776617,0.16568349050340597,0.4174714127207158,0.6759046975990757,0.2809150988441148,0.09559593659627658,0.7241109608433391,0.7974744678594883,0.4949643510209554,0.1060150563540016,0.1673506975588231,0.4941586009463288,0.9388295635032684,0.08525817037487188,0.45086383589523243,0.1653678264265207,0.565529601913501,0.3542236511777418,0.8066056818782347,0.38057653752147874,0.47623503308227294,0.25678103524913487,0.7743828778715616,0.8667677114575609,0.5720451835338101,0.5154316964029269,0.8156554861472207,0.17801440996737639,0.9041727282974752,0.4724322690718076,0.4235619728449391,0.48911069674795565,0.4769757426066494,0.2912221575811186,0.4512998374278527,0.16799878746896835,0.7734592458392013,0.1482867030428171,0.5990475292715636,0.6146919622469658,0.5194241398523836,0.5136990134302222,0.6001976689310446,0.4414367121791979,0.47955832369620116,0.4359514869854313,0.6763716968111337,0.7636174948040697,0.12307696946475216,0.314149877538394,0.5963563224224281,0.40314309464410325,0.44610544271168245,0.25863787976823566,0.544529516102178,0.18697754919460402,0.7706619954072329,0.13212963996533988,0.29183833661675834,0.554074354231678,0.39171270514970874,0.782945819079612,0.5792040195218635,0.1846566078906759,0.9027581680785444,0.6894761240594802,0.7060500131298185,0.4275818923370495,0.4707933007620069,0.4346899367923269,0.1259455564211015,0.8272706263560348,0.34586423237218517,0.7419135419656055,0.23821465630602068
